route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,Florida Avenue,3,http://www.gohart.org/routes/hart/01.html,09346D,FFFFFF
2,2,Nebraska Avenue,3,http://www.gohart.org/routes/hart/02.html,09346D,FFFFFF
4,4,Palma Ceia -  MacDill,3,http://www.gohart.org/routes/hart/04.html,09346D,FFFFFF
5,5,40th Street,3,http://www.gohart.org/routes/hart/05.html,09346D,FFFFFF
6,6,56th Street,3,http://www.gohart.org/routes/hart/06.html,09346D,FFFFFF
7,7,West Tampa - Citrus Park,3,http://www.gohart.org/routes/hart/07.html,09346D,FFFFFF
8,8,Progress Village- Brandon,3,http://www.gohart.org/routes/hart/08.html,09346D,FFFFFF
9,9,15th Street,3,http://www.gohart.org/routes/hart/09.html,09346D,FFFFFF
10,10,Cypress Street,3,http://www.gohart.org/routes/hart/10.html,09346D,FFFFFF
12,12,22nd Street,3,http://www.gohart.org/routes/hart/12.html,09346D,FFFFFF
14,14,Armenia Avenue,3,http://www.gohart.org/routes/hart/14.html,09346D,FFFFFF
15,15,Columbus Drive,3,http://www.gohart.org/routes/hart/15.html,09346D,FFFFFF
16,16,Waters Avenue,3,http://www.gohart.org/routes/hart/16.html,09346D,FFFFFF
18,18,30th Street,3,http://www.gohart.org/routes/hart/18.html,09346D,FFFFFF
19,19,Port Tampa,3,http://www.gohart.org/routes/hart/19.html,09346D,FFFFFF
20,20,Pasco - Lutz Express,3,http://www.gohart.org/routes/commuterexpress/020x.html,A81534,FFFFFF
22,22,Dover - Brandon Express,3,http://www.gohart.org/routes/commuterexpress/022x.html,A81534,FFFFFF
24,24,Fishhawk-Riverview-MacDill AFB,3,http://www.gohart.org/routes/commuterexpress/024x.html,A81534,FFFFFF
25,25,S Brandon - MacDill AFB Limited,3,http://www.gohart.org/routes/commuterexpress/025lx.html,A81534,FFFFFF
27,27,Riverview-Fishhawk-Brandon Ltd,3,http://www.gohart.org/routes/commuterexpress/027lx.html,A81534,FFFFFF
28,28,East County Express,3,http://www.gohart.org/routes/commuterexpress/028x.html,A81534,FFFFFF
30,30,Town 'N Country,3,http://www.gohart.org/routes/hart/30.html,09346D,FFFFFF
31,31,South Hillsborough County,3,http://www.gohart.org/routes/hart/31.html,09346D,FFFFFF
32,32,Dr Martin Luther King Jr Blvd,3,http://www.gohart.org/routes/hart/32.html,09346D,FFFFFF
33,33,Fletcher Avenue,3,http://www.gohart.org/routes/hart/33.html,09346D,FFFFFF
34,34,Hillsborough Avenue,3,http://www.gohart.org/routes/hart/34.html,09346D,FFFFFF
36,36,Dale Mabry - Himes Avenue,3,http://www.gohart.org/routes/hart/36.html,09346D,FFFFFF
37,37,Brandon - Netpark,3,http://www.gohart.org/routes/hart/37.html,09346D,FFFFFF
39,39,Busch Boulevard,3,http://www.gohart.org/routes/hart/39.html,09346D,FFFFFF
41,41,Sligh Avenue,3,http://www.gohart.org/routes/hart/41.html,09346D,FFFFFF
45,45,Uatc - Rome - Westshore Plaza,3,http://www.gohart.org/routes/hart/45.html,09346D,FFFFFF
46,46,Davis Islands - West Brandon,3,http://www.gohart.org/routes/hart/46.html,09346D,FFFFFF
47,47,Southshore Limited Express,3,http://www.gohart.org/routes/commuterexpress/047lx.html,A81534,FFFFFF
51,51,New Tampa - Pasco Express,3,http://www.gohart.org/routes/commuterexpress/051x.html,A81534,FFFFFF
53,53,So County-Brandon Via Us301 Ltd,3,http://www.gohart.org/routes/commuterexpress/053lx.html,A81534,FFFFFF
57,57,Uatc - Temple Terrace - Netpark,3,http://www.gohart.org/routes/hart/57.html,09346D,FFFFFF
61,61,Northwest Limited Express,3,http://www.gohart.org/routes/commuterexpress/061lx.html,A81534,FFFFFF
96,96,In-Town Trolley Purple Line,3,http://www.gohart.org/routes/trolley/96.html,3C2D90,FFFFFF
200,200,Clearwater Express,3,http://www.gohart.org/routes/commuterexpress/200x.html,A81534,FFFFFF
400,400,Metrorapid North-South,3,http://www.gohart.org/routes/hart/400.html,2EB135,FFFFFF
